Timestamp,LBNL Weather Station Wet-Bulb Temperature (),"LBNL Weather Station Dry-Bulb Temperature Sensor (Main, Two-Meter) ()"
2018-09-18T22:00:00-07:00 Los_Angeles,50.69949913,54.19999981
2018-09-18T23:00:00-07:00 Los_Angeles,50.07605553,53.10750103
2018-09-19T00:00:00-07:00 Los_Angeles,50.61403084,54.35999966
2018-09-19T01:00:00-07:00 Los_Angeles,50.27975464,54.17250061
2018-09-19T02:00:00-07:00 Los_Angeles,49.76529217,52.74000072
2018-09-19T03:00:00-07:00 Los_Angeles,49.81776142,52.46000099
2018-09-19T04:00:00-07:00 Los_Angeles,50.00553608,52.60499954
2018-09-19T05:00:00-07:00 Los_Angeles,49.57197666,52.25500011
2018-09-19T06:00:00-07:00 Los_Angeles,49.36985397,51.75249958
2018-09-19T07:00:00-07:00 Los_Angeles,49.06053638,51.46000004
2018-09-19T08:00:00-07:00 Los_Angeles,49.81176472,52.0625
2018-09-19T09:00:00-07:00 Los_Angeles,52.97486019,55.63249969
2018-09-19T10:00:00-07:00 Los_Angeles,56.60932732,62.03750038
2018-09-19T11:00:00-07:00 Los_Angeles,55.79906082,62.60000038
2018-09-19T12:00:00-07:00 Los_Angeles,57.30436039,65.31000137
2018-09-19T13:00:00-07:00 Los_Angeles,58.1599741,67.52249908
2018-09-19T14:00:00-07:00 Los_Angeles,58.53840923,69.6325016
2018-09-19T15:00:00-07:00 Los_Angeles,58.8931036,70.5700016
2018-09-19T16:00:00-07:00 Los_Angeles,58.18655109,69.63750076
2018-09-19T17:00:00-07:00 Los_Angeles,57.57718849,69.99250031
2018-09-19T18:00:00-07:00 Los_Angeles,57.58226395,72.38249969
2018-09-19T19:00:00-07:00 Los_Angeles,56.93628788,68.94249916
2018-09-19T20:00:00-07:00 Los_Angeles,54.77050877,71.76749992
2018-09-19T21:00:00-07:00 Los_Angeles,53.70946217,72.39499855
2018-09-19T22:00:00-07:00 Los_Angeles,53.32869625,71.80999947
2018-09-19T23:00:00-07:00 Los_Angeles,53.33556938,70.29000092
2018-09-20T00:00:00-07:00 Los_Angeles,53.37058067,69.89499855
2018-09-20T01:00:00-07:00 Los_Angeles,51.90958309,67.28000259
2018-09-20T02:00:00-07:00 Los_Angeles,52.32213688,67.83499908
2018-09-20T03:00:00-07:00 Los_Angeles,52.19568825,66.98250008
2018-09-20T04:00:00-07:00 Los_Angeles,51.21630287,65.47000122
2018-09-20T05:00:00-07:00 Los_Angeles,50.8819046,64.82500076
2018-09-20T06:00:00-07:00 Los_Angeles,50.14695644,64.72500038
2018-09-20T07:00:00-07:00 Los_Angeles,50.29870415,64.03749943
2018-09-20T08:00:00-07:00 Los_Angeles,51.80992031,64.31250095
2018-09-20T09:00:00-07:00 Los_Angeles,53.43008137,66.7974987
2018-09-20T10:00:00-07:00 Los_Angeles,55.20162296,70.4375
2018-09-20T11:00:00-07:00 Los_Angeles,55.63546944,73.23250198
2018-09-20T12:00:00-07:00 Los_Angeles,56.90674877,75.90749931
2018-09-20T13:00:00-07:00 Los_Angeles,55.77039433,77.84749985
2018-09-20T14:00:00-07:00 Los_Angeles,56.03628063,78.88750076
2018-09-20T15:00:00-07:00 Los_Angeles,58.33579445,79.66750145
2018-09-20T16:00:00-07:00 Los_Angeles,57.78499126,79.14500046
2018-09-20T17:00:00-07:00 Los_Angeles,58.65092182,79.01000023
2018-09-20T18:00:00-07:00 Los_Angeles,57.43541145,77.32999992
2018-09-20T19:00:00-07:00 Los_Angeles,54.44326687,73.62499809
2018-09-20T20:00:00-07:00 Los_Angeles,53.60451126,76.0625
2018-09-20T21:00:00-07:00 Los_Angeles,53.42400169,75.67000008
2018-09-20T22:00:00-07:00 Los_Angeles,51.9118166,76.06250191
2018-09-20T23:00:00-07:00 Los_Angeles,51.1475029,76.70999908
2018-09-21T00:00:00-07:00 Los_Angeles,50.48516083,75.52750015
